# Threat Intelligence Indicator Feed
# Source: James Brine STIX dataset (converted from STIX 2.x to CSV)
# Description: This dataset contains cyber threat indicators extracted from STIX Indicator objects.
# Each row represents a single indicator associated with malicious activity such as brute-force attacks.

# Column Descriptions:
# id            : Internal numeric identifier for the indicator record generated during the STIX-to-CSV conversion process.
# indicator_id  : STIX Indicator Object ID (format: indicator--UUID). This uniquely identifies the indicator in the STIX dataset.
# indicator     : The observable value extracted from the STIX pattern. In this dataset it represents an IPv4 address used in malicious activity.
# valid_from    : Timestamp indicating when the indicator became valid or was first observed in threat intelligence.
# created       : Timestamp when the STIX indicator object was originally created.
# modified      : Timestamp when the STIX indicator object was last modified or updated.
# name          : Human-readable label describing the threat activity associated with the indicator.

# Timestamp Format:
# All timestamps follow the format: YYYY-MM-DD HH:MM:SS (UTC unless otherwise specified).

# Indicator Type:
# Most indicators in this dataset represent IPv4 addresses associated with brute-force attacks
# such as SSH or NTP service scanning.

# Data Origin:
# Converted from STIX 2.x objects into CSV format for easier querying, analytics, and SIEM ingestion.

# Note:
# Duplicate indicators may exist if the same observable was reported at different times or associated
# with different STIX objects.


"id","indicator_id","indicator","valid_from","created","modified","name"
"64179610","indicator--ec5a1b70-35c6-44ba-9e72-eb537d88b9e9","103.80.36.34","2020-08-23 20:57:41","2020-08-24 04:57:37","2020-08-24 04:57:37","SSH Bruteforce Host"
"64170651","indicator--27e28685-8462-45c0-9811-abe8a0fd79bd","125.99.46.50","2020-08-23 20:57:41","2020-08-24 04:57:37","2020-08-24 04:57:37","SSH Bruteforce Host"
"64179610","indicator--c47c54ea-a87e-4504-a27c-4364d4794456","103.80.36.34","2020-08-23 20:57:41","2020-08-24 04:57:37","2020-08-24 04:57:37","SSH Bruteforce Host"
"64179610","indicator--d212ef1f-2de5-452f-923d-7adeed4dba58","103.80.36.34","2020-08-23 20:57:42","2020-08-24 04:57:37","2020-08-24 04:57:37","SSH Bruteforce Host"
"64180895","indicator--a7a718a7-a75b-4118-a81b-4d1d533dd412","159.89.174.9","2020-08-23 20:57:42","2020-08-24 04:57:37","2020-08-24 04:57:37","SSH Bruteforce Host"
"64179610","indicator--3802924c-02e5-4400-95e3-581395e5dc46","103.80.36.34","2020-08-23 20:57:42","2020-08-24 04:57:37","2020-08-24 04:57:37","SSH Bruteforce Host"
"64179610","indicator--509f692e-fc9a-4108-9f9b-cd83b54ca2b9","103.80.36.34","2020-08-23 20:57:42","2020-08-24 04:57:37","2020-08-24 04:57:37","SSH Bruteforce Host"
"64176824","indicator--274c1172-4a6b-438a-a24d-a9ae0baff342","106.13.4.132","2020-08-23 20:57:42","2020-08-24 04:57:37","2020-08-24 04:57:37","SSH Bruteforce Host"
"64179644","indicator--859b535a-5f8c-450d-8dac-ffe47f913021","182.74.86.27","2020-08-23 20:57:43","2020-08-24 04:57:37","2020-08-24 04:57:37","SSH Bruteforce Host"
"64179597","indicator--a6c28bf5-4e0a-4800-bf62-3e2e1788a040","51.77.210.17","2020-08-23 20:57:43","2020-08-24 04:57:37","2020-08-24 04:57:37","SSH Bruteforce Host"
"64179858","indicator--198bbf56-ec20-449e-9d06-e2feb9bae556","120.53.9.99","2020-08-23 20:57:43","2020-08-24 04:57:37","2020-08-24 04:57:37","SSH Bruteforce Host"
"64179755","indicator--62a7fca0-4c68-4013-9107-c291a6c09b00","51.178.47.46","2020-08-23 20:57:43","2020-08-24 04:57:37","2020-08-24 04:57:37","SSH Bruteforce Host"
"64179755","indicator--33ce5619-d16c-4736-b0ca-af412b7b1d25","51.178.47.46","2020-08-23 20:57:43","2020-08-24 04:57:37","2020-08-24 04:57:37","SSH Bruteforce Host"
"64179644","indicator--a086af59-acb7-4eac-b5d8-f71f07c3cd3b","182.74.86.27","2020-08-23 20:57:44","2020-08-24 04:57:37","2020-08-24 04:57:37","SSH Bruteforce Host"
"64179660","indicator--ec2a5253-19b9-4327-a87f-1fd122dfcaff","106.13.1.245","2020-08-23 20:57:44","2020-08-24 04:57:37","2020-08-24 04:57:37","SSH Bruteforce Host"
"64179961","indicator--5db50e71-a564-42bc-9b51-b4061b983eb7","51.178.51.36","2020-08-23 20:57:45","2020-08-24 04:57:37","2020-08-24 04:57:37","SSH Bruteforce Host"
"64179749","indicator--b2ca2396-5aa3-4172-bb87-bce677082826","106.51.50.2","2020-08-23 20:57:45","2020-08-24 04:57:37","2020-08-24 04:57:37","SSH Bruteforce Host"
"64179961","indicator--123e7e1e-486f-4dd3-bc32-97313a84817b","51.178.51.36","2020-08-23 20:57:45","2020-08-24 04:57:37","2020-08-24 04:57:37","SSH Bruteforce Host"
"64179660","indicator--301f1551-1adc-41c8-8e05-eb10012ba69e","106.13.1.245","2020-08-23 20:57:45","2020-08-24 04:57:37","2020-08-24 04:57:37","SSH Bruteforce Host"
"64179961","indicator--b42719e9-01bb-450e-8219-2d1559505aac","51.178.51.36","2020-08-23 20:57:45","2020-08-24 04:57:37","2020-08-24 04:57:37","SSH Bruteforce Host"
"64179660","indicator--8de1ec2d-27cc-4b5f-84b9-6b1c60797ade","106.13.1.245","2020-08-23 20:57:45","2020-08-24 04:57:37","2020-08-24 04:57:37","SSH Bruteforce Host"
"64179754","indicator--ba106479-4cbf-4fd6-979d-f16b5a870f94","118.24.48.15","2020-08-23 20:57:45","2020-08-24 04:57:37","2020-08-24 04:57:37","SSH Bruteforce Host"
"64179749","indicator--a7e318a4-8e3c-4ed5-8240-ed9ad9327157","106.51.50.2","2020-08-23 20:57:45","2020-08-24 04:57:37","2020-08-24 04:57:37","SSH Bruteforce Host"
"64179660","indicator--d3b1a080-5998-49a2-af98-406ac9cd9631","106.13.1.245","2020-08-23 20:57:46","2020-08-24 04:57:37","2020-08-24 04:57:37","SSH Bruteforce Host"
"64179877","indicator--d677d8ac-3910-4089-8593-6295f99f3036","81.68.145.65","2020-08-23 20:57:46","2020-08-24 04:57:37","2020-08-24 04:57:37","SSH Bruteforce Host"
"64186622","indicator--465ed762-f4f6-4fbe-a3c8-454f204a4422","1.9.128.13","2020-08-24 15:54:10","2020-08-24 23:54:10","2020-08-24 23:54:10","SSH Bruteforce Host"
"64179060","indicator--ac684c1c-e7ac-4167-88a5-700a5ab62e51","2.139.209.78","2020-08-25 20:57:22","2020-08-26 04:57:22","2020-08-26 04:57:22","SSH Bruteforce Host"
"64178171","indicator--0de811e1-2c69-4134-9e8d-e343791e66b4","5.39.88.60","2020-08-25 20:57:22","2020-08-26 04:57:22","2020-08-26 04:57:22","SSH Bruteforce Host"
"64171617","indicator--1bb8936a-271f-4d0d-bd36-d9a9118a3ef6","5.253.25.170","2020-08-25 20:57:22","2020-08-26 04:57:22","2020-08-26 04:57:22","SSH Bruteforce Host"
"64179560","indicator--7928ee40-c876-426c-bebd-b4309347d14a","8.211.45.4","2020-08-25 20:57:22","2020-08-26 04:57:22","2020-08-26 04:57:22","SSH Bruteforce Host"
"64186747","indicator--151f8eae-ddcb-4029-a90f-2e538dfe8f3f","51.38.188.20","2020-08-25 20:57:22","2020-08-26 04:57:22","2020-08-26 04:57:22","SSH Bruteforce Host"
"64186817","indicator--9b5799da-2f25-46aa-8261-3187e9b6afa9","51.75.24.200","2020-08-25 20:57:22","2020-08-26 04:57:22","2020-08-26 04:57:22","SSH Bruteforce Host"
"64176925","indicator--11f9b5cb-cda8-4f34-826f-0c638abfbbb6","94.23.33.22","2020-08-25 20:57:22","2020-08-26 04:57:22","2020-08-26 04:57:22","SSH Bruteforce Host"
"64186769","indicator--8f8e83e0-c319-428a-b19c-c7659b00992b","101.78.3.29","2020-08-25 20:57:22","2020-08-26 04:57:22","2020-08-26 04:57:22","SSH Bruteforce Host"
"64186658","indicator--9430d76d-c14b-422d-8c19-ce9e081d165f","218.92.0.189","2020-08-25 20:57:22","2020-08-26 04:57:22","2020-08-26 04:57:22","SSH Bruteforce Host"
"64170387","indicator--b34afd18-9c3a-498f-85d0-e060676f9c60","218.92.0.192","2020-08-25 20:57:22","2020-08-26 04:57:22","2020-08-26 04:57:22","SSH Bruteforce Host"
